lr-Adam,step,train/loss,epoch,val/loss,val/CER,val/IER,val/DER,val/SER,train/CER,train/IER,train/DER,train/SER,test/loss,test/CER,test/IER,test/DER,test/SER
,5099,0.6916534900665283,42,,,,,,,,,,,,,,
,5149,0.8828564286231995,42,,,,,,,,,,,,,,
,5159,,42,0.8215345740318298,23.903411865234375,6.38015079498291,1.7279574871063232,15.795303344726562,,,,,,,,,
,5159,,42,,,,,,23.153942108154297,8.21081256866455,1.7962013483047485,13.146927833557129,,,,,
0.0008691904392449266,5160,,,,,,,,,,,,,,,,
,5199,0.7961962819099426,43,,,,,,,,,,,,,,
,5249,0.7806565761566162,43,,,,,,,,,,,,,,
,5279,,43,0.8090646266937256,23.615419387817383,5.892777919769287,2.237483501434326,15.485157012939453,,,,,,,,,
,5279,,43,,,,,,21.696319580078125,7.247714042663574,1.892145037651062,12.556461334228516,,,,,
0.000861536034481782,5280,,,,,,,,,,,,,,,,
,5299,0.6728579998016357,44,,,,,,,,,,,,,,
,5349,0.6553531885147095,44,,,,,,,,,,,,,,
,5399,0.8114920854568481,44,,,,,,,,,,,,,,
,5399,,44,0.8218686580657959,24.92246437072754,8.418253898620605,1.3291980028152466,15.175010681152344,,,,,,,,,
,5399,,44,,,,,,21.066024780273438,7.1210455894470215,1.870701551437378,12.074277877807617,,,,,
0.0008536998372026804,5400,,,,,,,,,,,,,,,,
,5449,0.6770044565200806,45,,,,,,,,,,,,,,
,5499,0.7289894223213196,45,,,,,,,,,,,,,,
,5519,,45,0.8200361132621765,23.327425003051758,6.114311218261719,1.6614975929260254,15.551617622375488,,,,,,,,,
,5519,,45,,,,,,20.411727905273438,7.1481614112854,1.8248577117919922,11.438708305358887,,,,,
0.0008456857931689388,5520,,,,,,,,,,,,,,,,
,5549,0.8129129409790039,46,,,,,,,,,,,,,,
,5599,0.8199518322944641,46,,,,,,,,,,,,,,
,5639,,46,0.8015362024307251,22.817899703979492,5.250332355499268,2.215330123901367,15.352237701416016,,,,,,,,,
,5639,,46,,,,,,20.345306396484375,6.81940221786499,1.854580044746399,11.671324729919434,,,,,
0.000837497937693071,5640,,,,,,,,,,,,,,,,
,5649,0.8064041137695312,47,,,,,,,,,,,,,,
,5699,0.7045460939407349,47,,,,,,,,,,,,,,
,5749,0.551323413848877,47,,,,,,,,,,,,,,
,5759,,47,0.8109307289123535,24.435091018676758,7.377048969268799,1.7058041095733643,15.352237701416016,,,,,,,,,
,5759,,47,,,,,,19.275314331054688,6.711890697479248,1.775865912437439,10.787557601928711,,,,,
0.0008291403936068863,5760,,,,,,,,,,,,,,,,
,5799,0.6498163342475891,48,,,,,,,,,,,,,,
,5849,0.6318988800048828,48,,,,,,,,,,,,,,
,5879,,48,0.8277901411056519,22.485599517822266,4.408506870269775,2.4811697006225586,15.59592342376709,,,,,,,,,
,5879,,48,,,,,,18.766084671020508,6.472344875335693,1.7532994747161865,10.540440559387207,,,,,
0.0008206173691855193,5880,,,,,,,,,,,,,,,,
,5899,0.5839138627052307,49,,,,,,,,,,,,,,
,5949,0.6365929841995239,49,,,,,,,,,,,,,,
,5999,0.7295225858688354,49,,,,,,,,,,,,,,
,5999,,49,0.912534236907959,25.27691650390625,5.383252143859863,2.4147098064422607,17.478954315185547,,,,,,,,,
,5999,,49,,,,,,18.62013053894043,6.424473762512207,1.869287133216858,10.326370239257812,,,,,
0.0008119331560284373,6000,,,,,,,,,,,,,,,,
,6049,0.6993833780288696,50,,,,,,,,,,,,,,
,6099,0.6627881526947021,50,,,,,,,,,,,,,,
,6119,,50,0.8469679951667786,24.811697006225586,7.377048969268799,1.3513513803482056,16.083295822143555,,,,,,,,,
,6119,,50,,,,,,18.129119873046875,6.212056636810303,1.8445683717727661,10.072494506835938,,,,,
0.0008030921268984896,6120,,,,,,,,,,,,,,,,
,6149,0.5506507158279419,51,,,,,,,,,,,,,,
,6199,0.5913619995117188,51,,,,,,,,,,,,,,
,6239,,51,0.8439633250236511,23.216659545898438,5.870624542236328,1.6393442153930664,15.706689834594727,,,,,,,,,
,6239,,51,,,,,,17.114370346069336,6.078334331512451,1.7853219509124756,9.250714302062988,,,,,
0.0007940987335200902,6240,,,,,,,,,,,,,,,,
,6249,0.5952985286712646,52,,,,,,,,,,,,,,
,6299,0.6261991262435913,52,,,,,,,,,,,,,,
,6349,0.4584938585758209,52,,,,,,,,,,,,,,
,6359,,52,0.8245369791984558,22.928667068481445,5.383252143859863,1.9494904279708862,15.59592342376709,,,,,,,,,
,6359,,52,,,,,,16.443355560302734,5.893774509429932,1.7502306699752808,8.799349784851074,,,,,
0.0007849575043376416,6360,,,,,,,,,,,,,,,,
,6399,0.5593166351318359,53,,,,,,,,,,,,,,
,6449,0.5560052394866943,53,,,,,,,,,,,,,,
,6479,,53,0.9174575209617615,26.229507446289062,9.105006217956543,1.2848914861679077,15.83961009979248,,,,,,,,,
,6479,,53,,,,,,16.15007781982422,5.660922527313232,1.7094252109527588,8.779728889465332,,,,,
0.000775673042235325,6480,,,,,,,,,,,,,,,,
,6499,0.5669289827346802,54,,,,,,,,,,,,,,
,6549,0.6328812837600708,54,,,,,,,,,,,,,,
