lr-Adam,step,train/loss,epoch,val/loss,val/CER,val/IER,val/DER,val/SER,train/CER,train/IER,train/DER,train/SER,test/loss,test/CER,test/IER,test/DER,test/SER
,7079,,58,,,,,,14.672429084777832,5.37559175491333,1.715030550956726,7.5818071365356445,,,,,
0.0007272682546199035,7080,,,,,,,,,,,,,,,,
,7099,0.35226887464523315,59,,,,,,,,,,,,,,
,7149,0.40076595544815063,59,,,,,,,,,,,,,,
,7199,0.46428626775741577,59,,,,,,,,,,,,,,
,7199,,59,0.9126705527305603,23.416038513183594,5.582631587982178,2.1267168521881104,15.706689834594727,,,,,,,,,
,7199,,59,,,,,,13.771308898925781,5.300046920776367,1.6152130365371704,6.856049060821533,,,,,
0.0007172249276892202,7200,,,,,,,,,,,,,,,,
,7249,0.45014292001724243,60,,,,,,,,,,,,,,
,7299,0.483639657497406,60,,,,,,,,,,,,,,
,7319,,60,0.8306300044059753,22.241914749145508,5.626938343048096,1.5285778045654297,15.086398124694824,,,,,,,,,
,7319,,60,,,,,,13.533967971801758,5.278644561767578,1.5998796224594116,6.655444145202637,,,,,
0.0007070724732307769,7320,,,,,,,,,,,,,,,,
,7349,0.49013572931289673,61,,,,,,,,,,,,,,
,7399,0.5256310105323792,61,,,,,,,,,,,,,,
,7439,,61,0.8856387734413147,23.615419387817383,7.066903114318848,1.373504638671875,15.175010681152344,,,,,,,,,
,7439,,61,,,,,,12.820301055908203,5.163387775421143,1.5484652519226074,6.108447551727295,,,,,
0.0006968160033111347,7440,,,,,,,,,,,,,,,,
,7449,0.43111854791641235,62,,,,,,,,,,,,,,
,7499,0.5550571084022522,62,,,,,,,,,,,,,,
,7549,0.5108007192611694,62,,,,,,,,,,,,,,
,7559,,62,0.8732999563217163,22.84005355834961,7.6207356452941895,1.3513513803482056,13.867966651916504,,,,,,,,,
,7559,,62,,,,,,12.75512981414795,4.997793674468994,1.5376765727996826,6.21966028213501,,,,,
0.0006864606823717715,7560,,,,,,,,,,,,,,,,
,7599,0.5709142684936523,63,,,,,,,,,,,,,,
,7649,0.3616498112678528,63,,,,,,,,,,,,,,
,7679,,63,0.8961822986602783,23.083740234375,6.756756782531738,1.1076650619506836,15.219317436218262,,,,,,,,,
,7679,,63,,,,,,12.308199882507324,5.040422439575195,1.534400224685669,5.733377456665039,,,,,
0.0006760117246286306,7680,,,,,,,,,,,,,,,,
,7699,0.5273447036743164,64,,,,,,,,,,,,,,
,7749,0.4806884825229645,64,,,,,,,,,,,,,,
,7799,0.4818725287914276,64,,,,,,,,,,,,,,
,7799,,64,0.8897190690040588,22.064687728881836,5.604784965515137,1.8387240171432495,14.62117862701416,,,,,,,,,
,7799,,64,,,,,,11.520807266235352,4.720740795135498,1.5062392950057983,5.293826580047607,,,,,
0.0006654743914466059,7800,,,,,,,,,,,,,,,,
,7849,0.36608076095581055,65,,,,,,,,,,,,,,
,7899,0.4556242823600769,65,,,,,,,,,,,,,,
,7919,,65,0.9191480875015259,22.729286193847656,5.582631587982178,1.9273371696472168,15.219317436218262,,,,,,,,,
,7919,,65,,,,,,11.114632606506348,4.6472859382629395,1.4494351148605347,5.017911434173584,,,,,
0.0006548539886902862,7920,,,,,,,,,,,,,,,,
,7949,0.4679073393344879,66,,,,,,,,,,,,,,
,7999,0.36631643772125244,66,,,,,,,,,,,,,,
,8039,,66,0.934567928314209,23.726184844970703,6.1586174964904785,1.617190957069397,15.950376510620117,,,,,,,,,
,8039,,66,,,,,,11.48232364654541,4.7357177734375,1.449934482574463,5.296671390533447,,,,,
0.0006441558640522925,8040,,,,,,,,,,,,,,,,
,8049,0.48773273825645447,67,,,,,,,,,,,,,,
,8099,0.410422146320343,67,,,,,,,,,,,,,,
,8149,0.33746495842933655,67,,,,,,,,,,,,,,
,8159,,67,0.9266135096549988,22.88435935974121,5.914931297302246,1.9716438055038452,14.997784614562988,,,,,,,,,
,8159,,67,,,,,,11.314677238464355,4.713072299957275,1.5223884582519531,5.079216480255127,,,,,
0.000633385404360554,8160,,,,,,,,,,,,,,,,
,8199,0.49522727727890015,68,,,,,,,,,,,,,,
,8249,0.35442468523979187,68,,,,,,,,,,,,,,
